"drug1","drug2","type"
"DICUMAROL","DISULFIRAM","CRITICAL"
"DICUMAROL","ERYTHROMYCIN","CRITICAL"
"DICUMAROL","FLUCONAZOLE","CRITICAL"
"DICUMAROL","ITRACONAZOLE","CRITICAL"
"DICUMAROL","KETOCONAZOLE","CRITICAL"
"DICUMAROL","MEPHOBARBITAL","CRITICAL"
"DICUMAROL","MICONAZOLE","CRITICAL"
"DICUMAROL","OXYPHENBUTAZONE","CRITICAL"
"DICUMAROL","PENTOBARBITAL","CRITICAL"
"DICUMAROL","PHENOBARBITAL","CRITICAL"
"DICUMAROL","PHENYLBUTAZONE","CRITICAL"
"DICUMAROL","PRIMIDONE","CRITICAL"
"DICUMAROL","RIFAMPIN","CRITICAL"
"DICUMAROL","SECOBARBITAL","CRITICAL"
"DICUMAROL","SULFAMETHOXAZOLE","CRITICAL"
"DIDANOSINE","RIBAVIRIN","CRITICAL"
"DIETHYLPROPION","PARGYLINE","CRITICAL"
"DIETHYLPROPION","PHENELZINE","CRITICAL"
"DIETHYLPROPION","TRANYLCYPROMINE","CRITICAL"
"DIETHYLSTILBESTROL","FOSPHENYTOIN SODIUM","CRITICAL"
"DIETHYLSTILBESTROL","PHENOBARBITAL","CRITICAL"
"DIETHYLSTILBESTROL","PHENYTOIN","CRITICAL"
"DIGITALIS","ERYTHROMYCIN","CRITICAL"
"DIGITALIS","QUINIDINE","CRITICAL"
"DIGITALIS","RABEPRAZOLE NA","CRITICAL"
"DIGITALIS","RABEPRAZOLE NA","CRITICAL"
"DIGITALIS","VERAPAMIL","CRITICAL"
"DILTIAZEM","ERYTHROMYCIN","CRITICAL"
"DILTIAZEM","RANOLAZINE","CRITICAL"
"DILTIAZEM","TACROLIMUS","CRITICAL"
"DIRITHROMYCIN","ERGOT","CRITICAL"
"DIRITHROMYCIN","PIMOZIDE","CRITICAL"
"DISOPYRAMIDE","GATIFLOXACIN","CRITICAL"
"DISOPYRAMIDE","PIMOZIDE","CRITICAL"
"DISOPYRAMIDE","RANOLAZINE","CRITICAL"
"DISOPYRAMIDE","RITONAVIR","CRITICAL"
"DISOPYRAMIDE","SPARFLOXACIN","CRITICAL"
"DISOPYRAMIDE","ZIPRASIDONE","CRITICAL"
"DISULFIRAM","PHENPROCOUMON","CRITICAL"
"DISULFIRAM","WARFARIN","CRITICAL"
"DOCETAXEL","KETOCONAZOLE","CRITICAL"
"DOFETILIDE","HYDROCHLOROTHIAZIDE","CRITICAL"
"DOFETILIDE","KETOCONAZOLE","CRITICAL"
"DOFETILIDE","MEGESTROL ACETATE","CRITICAL"
"DOFETILIDE","PROCHLORPERAZINE","CRITICAL"
"DOFETILIDE","RANOLAZINE","CRITICAL"
"DOFETILIDE","SPARFLOXACIN","CRITICAL"
"DOFETILIDE","TRIMETHOPRIM","CRITICAL"
"DOFETILIDE","VERAPAMIL","CRITICAL"
"DOFETILIDE","ZIPRASIDONE","CRITICAL"
"DOLASETRON MESYLATE","ZIPRASIDONE","CRITICAL"
"DOPAMINE","PARGYLINE","CRITICAL"
"DOPAMINE","PHENELZINE","CRITICAL"
"DOPAMINE","TRANYLCYPROMINE","CRITICAL"
"DOXORUBICIN","TRASTUZUMAB","CRITICAL"
"DROPERIDOL","ZIPRASIDONE","CRITICAL"
"DULOXETINE","ISOCARBOXAZID","CRITICAL"
"DULOXETINE","MESORIDAZINE","CRITICAL"
"DULOXETINE","PHENELZINE","CRITICAL"
"DULOXETINE","THIORIDAZINE","CRITICAL"
"DULOXETINE","TRANYLCYPROMINE","CRITICAL"
"EFAVIRENZ","ERGOT","CRITICAL"
"EFAVIRENZ","LEVOMETHADYL","CRITICAL"
"EFAVIRENZ","METHYLERGONOVINE","CRITICAL"
"EFAVIRENZ","METHYSERGIDE","CRITICAL"
"EFAVIRENZ","MIDAZOLAM","CRITICAL"
"EFAVIRENZ","RIFAMPIN","CRITICAL"
"EFAVIRENZ","TRIAZOLAM","CRITICAL"
"EFAVIRENZ","VORICONAZOLE","CRITICAL"
"ELETRIPTAN","NEFAZODONE","CRITICAL"
"ENALAPRIL","INDOMETHACIN","CRITICAL"
"ENALAPRIL","LITHIUM","CRITICAL"
"ENOXACIN","THEOPHYLLINE","CRITICAL"
"EPHEDRA","FURAZOLIDONE","CRITICAL"
"EPHEDRA","HALOTHANE","CRITICAL"
"EPHEDRA","ISOCARBOXAZID","CRITICAL"
"EPHEDRA","PARGYLINE","CRITICAL"
"EPHEDRA","PHENELZINE","CRITICAL"
"EPHEDRA","SELEGILINE","CRITICAL"
"EPHEDRA","TRANYLCYPROMINE","CRITICAL"
"EPHEDRINE","PARGYLINE","CRITICAL"
"EPHEDRINE","PHENELZINE","CRITICAL"
"EPHEDRINE","TRANYLCYPROMINE","CRITICAL"
"EPIRUBICIN","TRASTUZUMAB","CRITICAL"
"EPLERENONE","ERYTHROMYCIN","CRITICAL"
"EPLERENONE","ITRACONAZOLE","CRITICAL"
"EPLERENONE","KETOCONAZOLE","CRITICAL"
"EPLERENONE","NEFAZODONE","CRITICAL"
"EPLERENONE","NELFINAVIR MESYLATE","CRITICAL"
"EPLERENONE","RITONAVIR","CRITICAL"
"EPLERENONE","SAQUINAVIR","CRITICAL"
"EPLERENONE","VERAPAMIL","CRITICAL"
"ERGOT","ERYTHROMYCIN","CRITICAL"
"ERGOT","FENFLURAMINE","CRITICAL"
"ERGOT","FOSAMPRENAVIR","CRITICAL"
"INDINAVIR SULFATE","ERGOT","CRITICAL"
"ERGOT","ITRACONAZOLE","CRITICAL"
"ERGOT","KETOCONAZOLE","CRITICAL"
"ERGOT","LOPINAVIR","CRITICAL"
"ERGOT","NARATRIPTAN HYDROCHLORIDE","CRITICAL"
"ERGOT","NEFAZODONE","CRITICAL"
"ERGOT","NELFINAVIR MESYLATE","CRITICAL"
"ERGOT","NITROGLYCERIN","CRITICAL"
"ERGOT","OLEANDOMYCIN (AS TROLEANDOMYCIN)","CRITICAL"
"ERGOT","PROPRANOLOL","CRITICAL"
"RITONAVIR","ERGOT","CRITICAL"
"ERGOT","RIZATRIPTAN","CRITICAL"
"SAQUINAVIR","ERGOT","CRITICAL"
"ERGOT","SUMATRIPTAN","CRITICAL"
"ERGOT","TACROLIMUS","CRITICAL"
"ERGOT","VORICONAZOLE","CRITICAL"
"ERGOT","ZOLMITRIPTAN","CRITICAL"
"ERLOTINIB","RIFABUTIN","CRITICAL"
"ERLOTINIB","RIFAMPIN","CRITICAL"
"ERLOTINIB","RIFAPENTINE","CRITICAL"
"ERYTHRITYL TETRANITRATE","SILDENAFIL CITRATE","CRITICAL"
"ERYTHRITYL TETRANITRATE","VARDENAFIL","CRITICAL"
"ERYTHROMYCIN","HALOFANTRINE HYDROCHLORIDE","CRITICAL"
"ERYTHROMYCIN","LOVASTATIN","CRITICAL"
"ERYTHROMYCIN","MESORIDAZINE","CRITICAL"
"ERYTHROMYCIN","MORICIZINE","CRITICAL"
"ERYTHROMYCIN","PIMOZIDE","CRITICAL"
"ERYTHROMYCIN","RANOLAZINE","CRITICAL"
"ERYTHROMYCIN","SIMVASTATIN","CRITICAL"
"ERYTHROMYCIN","THEOPHYLLINE","CRITICAL"
"ERYTHROMYCIN","THIORIDAZINE","CRITICAL"
"ERYTHROMYCIN","VERAPAMIL","CRITICAL"
"ERYTHROMYCIN","VINBLASTINE","CRITICAL"
"ERYTHROMYCIN","WARFARIN","CRITICAL"
"ERYTHROMYCIN","ZIPRASIDONE","CRITICAL"
"ESCITALOPRAM OXALATE","LINEZOLID","CRITICAL"
"ESTAZOLAM","KETOCONAZOLE","CRITICAL"
"ESTAZOLAM","SODIUM OXYBATE","CRITICAL"
"ESTRADIOL","FOSPHENYTOIN SODIUM","CRITICAL"
"ESTRADIOL","PHENYTOIN","CRITICAL"
"ESTROGENS","FOSPHENYTOIN SODIUM","CRITICAL"
"ESTROGENS","PHENOBARBITAL","CRITICAL"
"ESTROGENS","PHENYTOIN","CRITICAL"
"ESTRONE","FOSPHENYTOIN SODIUM","CRITICAL"
"ESTRONE","PHENOBARBITAL","CRITICAL"
"ESTRONE","PHENYTOIN","CRITICAL"
"ESTROPIPATE","FOSPHENYTOIN SODIUM","CRITICAL"
"ESTROPIPATE","PHENOBARBITAL","CRITICAL"
"ESTROPIPATE","PHENYTOIN","CRITICAL"
"ETHINYL ESTRADIOL","FOSPHENYTOIN SODIUM","CRITICAL"
"ETHINYL ESTRADIOL","GRISEOFULVIN","CRITICAL"
"ETHINYL ESTRADIOL","NAFCILLIN","CRITICAL"
"ETHINYL ESTRADIOL","PHENYTOIN","CRITICAL"
"ETHINYL ESTRADIOL","RIFABUTIN","CRITICAL"
"ETHINYL ESTRADIOL","RIFAPENTINE","CRITICAL"
"ETHINYL ESTRADIOL","RITONAVIR","CRITICAL"
"ETHYNODIOL DIACETATE","GRISEOFULVIN","CRITICAL"
"ETHYNODIOL DIACETATE","NAFCILLIN","CRITICAL"
"ETHYNODIOL DIACETATE","RIFABUTIN","CRITICAL"
"ETHYNODIOL DIACETATE","RIFAPENTINE","CRITICAL"
"FAMCICLOVIR","RIFAMPIN","CRITICAL"
"FAMOTIDINE","TIZANIDINE","CRITICAL"
"FENTANYL","ITRACONAZOLE","CRITICAL"
"FENTANYL","NEFAZODONE","CRITICAL"
"FENTANYL","NELFINAVIR MESYLATE","CRITICAL"
"FENTANYL","RITONAVIR","CRITICAL"
"RITONAVIR","FENTANYL","CRITICAL"
"FENTANYL","SODIUM OXYBATE","CRITICAL"
"FENTANYL","TROLEANDOMYCIN","CRITICAL"
"FLUCONAZOLE","IMIPRAMINE","CRITICAL"
"FLUCONAZOLE","LOVASTATIN","CRITICAL"
"FLUCONAZOLE","NORTRIPTYLINE","CRITICAL"
"FLUCONAZOLE","PHENPROCOUMON","CRITICAL"
"FLUCONAZOLE","PIMOZIDE","CRITICAL"
"FLUCONAZOLE","RIFABUTIN","CRITICAL"
"FLUCONAZOLE","RIFAMPIN","CRITICAL"
"FLUCONAZOLE","RIFAPENTINE","CRITICAL"
"FLUCONAZOLE","SIMVASTATIN","CRITICAL"
"FLUCONAZOLE","VINBLASTINE","CRITICAL"
"FLUCONAZOLE","VINCRISTINE","CRITICAL"
"FLUCONAZOLE","WARFARIN","CRITICAL"
"FLUOXETINE","PARGYLINE","CRITICAL"
"FLUOXETINE","PHENELZINE","CRITICAL"
"FLUOXETINE","PIMOZIDE","CRITICAL"
"FLUOXETINE","RITONAVIR","CRITICAL"
"FLUOXETINE","SELEGILINE","CRITICAL"
"FLUOXETINE","THIORIDAZINE","CRITICAL"
"FLUOXETINE","TRANYLCYPROMINE","CRITICAL"
"FLUTICASONE","RITONAVIR","CRITICAL"
"FLUVOXAMINE MALEATE","PHENELZINE","CRITICAL"
"FLUVOXAMINE MALEATE","SELEGILINE","CRITICAL"
"FLUVOXAMINE MALEATE","THIORIDAZINE","CRITICAL"
"FLUVOXAMINE MALEATE","TIZANIDINE","CRITICAL"
"FLUVOXAMINE MALEATE","TRANYLCYPROMINE","CRITICAL"
"FOSAMPRENAVIR","LOVASTATIN","CRITICAL"
"FOSAMPRENAVIR","METHYLERGONOVINE","CRITICAL"
"FOSAMPRENAVIR","METHYSERGIDE","CRITICAL"
"FOSAMPRENAVIR","MIDAZOLAM","CRITICAL"
"FOSAMPRENAVIR","NORETHINDRONE","CRITICAL"
"FOSAMPRENAVIR","PROPAFENONE","CRITICAL"
"FOSAMPRENAVIR","RANOLAZINE","CRITICAL"
"FOSAMPRENAVIR","RIFAMPIN","CRITICAL"
"FOSAMPRENAVIR","RIFAPENTINE","CRITICAL"
"FOSAMPRENAVIR","SIMVASTATIN","CRITICAL"
"FOSINOPRIL","INDOMETHACIN","CRITICAL"
"FOSINOPRIL","POTASSIUM ACETATE","CRITICAL"
"FOSINOPRIL","POTASSIUM BICARBONATE","CRITICAL"
"FOSINOPRIL","POTASSIUM CHLORIDE","CRITICAL"
"FOSINOPRIL","POTASSIUM CITRATE","CRITICAL"
"FOSINOPRIL","POTASSIUM GLUCONATE","CRITICAL"
"FOSINOPRIL","SPIRONOLACTONE","CRITICAL"
"FOSINOPRIL","TRIAMTERENE","CRITICAL"
"FOSPHENYTOIN SODIUM","ISONIAZID","CRITICAL"
"FOSPHENYTOIN SODIUM","LEVOMETHADYL","CRITICAL"
"LEVONORGESTREL","FOSPHENYTOIN SODIUM","CRITICAL"
"FOSPHENYTOIN SODIUM","NORGESTREL","CRITICAL"
"FOSPHENYTOIN SODIUM","QUINESTROL","CRITICAL"
"FOSPHENYTOIN SODIUM","VORICONAZOLE","CRITICAL"
"GANCICLOVIR","ZIDOVUDINE","CRITICAL"
"GATIFLOXACIN","GLIMEPIRIDE","CRITICAL"
"GATIFLOXACIN","GLIPIZIDE","CRITICAL"
"GATIFLOXACIN","GLYBURIDE","CRITICAL"
"GATIFLOXACIN","IBUTILIDE FUMARATE","CRITICAL"
"GATIFLOXACIN","INSULIN","CRITICAL"
"GATIFLOXACIN","METFORMIN HYDROCHLORIDE","CRITICAL"
"GATIFLOXACIN","NATEGLINIDE","CRITICAL"
"GATIFLOXACIN","PIOGLITAZONE HCL","CRITICAL"
"GATIFLOXACIN","REPAGLINIDE","CRITICAL"
"GATIFLOXACIN","ROSIGLITAZONE","CRITICAL"
"GATIFLOXACIN","TIZANIDINE","CRITICAL"
"GATIFLOXACIN","TOLAZAMIDE","CRITICAL"
"GATIFLOXACIN","TOLBUTAMIDE","CRITICAL"
"GATIFLOXACIN","ZIPRASIDONE","CRITICAL"
"GRAPEFRUIT EXTRACT","RANOLAZINE","CRITICAL"
"MEFLOQUINE","HALOFANTRINE HYDROCHLORIDE","CRITICAL"
"HALOPERIDOL","RANOLAZINE","CRITICAL"
"HYDROCHLOROTHIAZIDE","LITHIUM","CRITICAL"
"HYDROFLUMETHIAZIDE","LITHIUM","CRITICAL"
"HYPERICUM PERFORATUM (ST. JOHN'S WORT)","TIPRANAVIR","CRITICAL"
"HYPERICUM PERFORATUM (ST. JOHN'S WORT)","TACROLIMUS","CRITICAL"
"IBUTILIDE FUMARATE","RANOLAZINE","CRITICAL"
"IBUTILIDE FUMARATE","ZIPRASIDONE","CRITICAL"
"IDARUBICIN","TRASTUZUMAB","CRITICAL"
"IMIPRAMINE","ITRACONAZOLE","CRITICAL"
"IMIPRAMINE","KETOCONAZOLE","CRITICAL"
"IMIPRAMINE","PHENELZINE","CRITICAL"
"IMIPRAMINE","TRANYLCYPROMINE","CRITICAL"
"IMIPRAMINE","ZIPRASIDONE","CRITICAL"
"INDAPAMIDE","LITHIUM","CRITICAL"
"INDINAVIR SULFATE","LOVASTATIN","CRITICAL"
"INDINAVIR SULFATE","METHYLERGONOVINE","CRITICAL"
"INDINAVIR SULFATE","METHYSERGIDE","CRITICAL"
"NELFINAVIR MESYLATE","INDINAVIR SULFATE","CRITICAL"
"PIMOZIDE","INDINAVIR SULFATE","CRITICAL"
"INDINAVIR SULFATE","RANOLAZINE","CRITICAL"
"INDINAVIR SULFATE","RIFAMPIN","CRITICAL"
"INDINAVIR SULFATE","RIFAPENTINE","CRITICAL"
"INDINAVIR SULFATE","SIMVASTATIN","CRITICAL"
"INDINAVIR SULFATE","TRAZODONE","CRITICAL"
"INDOMETHACIN","LISINOPRIL","CRITICAL"
"INDOMETHACIN","QUINAPRIL","CRITICAL"
"INDOMETHACIN","RAMIPRIL","CRITICAL"
"ISONIAZID","PHENYTOIN","CRITICAL"
"ISOSORBIDE","SILDENAFIL CITRATE","CRITICAL"
"ISOSORBIDE","TADALAFIL","CRITICAL"
"ISOSORBIDE","VARDENAFIL","CRITICAL"
"ITRACONAZOLE","LOVASTATIN","CRITICAL"
"ITRACONAZOLE","NORTRIPTYLINE","CRITICAL"
"ITRACONAZOLE","PANTOPRAZOLE","CRITICAL"
"ITRACONAZOLE","PHENPROCOUMON","CRITICAL"
"PIMOZIDE","ITRACONAZOLE","CRITICAL"
"ITRACONAZOLE","RANOLAZINE","CRITICAL"
"ITRACONAZOLE","RIFABUTIN","CRITICAL"
"ITRACONAZOLE","RIFAMPIN","CRITICAL"
"ITRACONAZOLE","RIFAPENTINE","CRITICAL"
"ITRACONAZOLE","SIMVASTATIN","CRITICAL"
"ITRACONAZOLE","VINBLASTINE","CRITICAL"
"ITRACONAZOLE","VINCRISTINE","CRITICAL"
"ITRACONAZOLE","WARFARIN","CRITICAL"
"KETOCONAZOLE","LOVASTATIN","CRITICAL"
"KETOCONAZOLE","NORTRIPTYLINE","CRITICAL"
"KETOCONAZOLE","PANTOPRAZOLE","CRITICAL"
"KETOCONAZOLE","PHENPROCOUMON","CRITICAL"
"PIMOZIDE","KETOCONAZOLE","CRITICAL"
"KETOCONAZOLE","RANOLAZINE","CRITICAL"
"KETOCONAZOLE","RIFABUTIN","CRITICAL"
"KETOCONAZOLE","RIFAMPIN","CRITICAL"
"KETOCONAZOLE","RIFAPENTINE","CRITICAL"
"KETOCONAZOLE","SIMVASTATIN","CRITICAL"
"KETOCONAZOLE","VINBLASTINE","CRITICAL"
"KETOCONAZOLE","VINCRISTINE","CRITICAL"
"KETOCONAZOLE","WARFARIN","CRITICAL"
"KETOROLAC TROMETHAMINE","PROBENECID","CRITICAL"
"LABETALOL","VERAPAMIL","CRITICAL"
"LEVOFLOXACIN","MESORIDAZINE","CRITICAL"
"LEVOFLOXACIN","THIORIDAZINE","CRITICAL"
"LEVOFLOXACIN","TIZANIDINE","CRITICAL"
"LEVOMETHADYL","PHENYTOIN","CRITICAL"
"LEVONORGESTREL","MEPHENYTOIN","CRITICAL"
"LEVONORGESTREL","OXCARBAZEPINE","CRITICAL"
"LEVONORGESTREL","PHENOBARBITAL","CRITICAL"
"LEVONORGESTREL","PHENYTOIN","CRITICAL"
"LINEZOLID","VENLAFAXINE HYDROCHLORIDE","CRITICAL"
"LISINOPRIL","SPIRONOLACTONE","CRITICAL"
"LISINOPRIL","TRIAMTERENE","CRITICAL"
"LITHIUM","METHYCLOTHIAZIDE","CRITICAL"
"LITHIUM","METOLAZONE","CRITICAL"
"LITHIUM","POLYTHIAZIDE","CRITICAL"
"LITHIUM","QUINETHAZONE","CRITICAL"
"LITHIUM","TRICHLORMETHIAZIDE","CRITICAL"
"LOPINAVIR","RIFAMPIN","CRITICAL"
"LOPINAVIR","TIPRANAVIR","CRITICAL"
"LOVASTATIN","NEFAZODONE","CRITICAL"
"LOVASTATIN","NELFINAVIR MESYLATE","CRITICAL"
"LOVASTATIN","RITONAVIR","CRITICAL"
"LOVASTATIN","SAQUINAVIR","CRITICAL"
"LOVASTATIN","VORICONAZOLE","CRITICAL"
"MAGNESIUM","PHENPROCOUMON","CRITICAL"
"MEFLOQUINE","ZIPRASIDONE","CRITICAL"
"MEPERIDINE","PARGYLINE","CRITICAL"
"MEPERIDINE","PHENELZINE","CRITICAL"
"MEPERIDINE","SELEGILINE","CRITICAL"
"MEPERIDINE","TRANYLCYPROMINE","CRITICAL"
"MEPHENTERMINE","PHENELZINE","CRITICAL"
"MEPHENTERMINE","TRANYLCYPROMINE","CRITICAL"
"MEPHOBARBITAL","PHENPROCOUMON","CRITICAL"
"MESORIDAZINE","MOXIFLOXACIN","CRITICAL"
"MESORIDAZINE","QUETIAPINE FUMARATE","CRITICAL"
"QUETIAPINE FUMARATE","MESORIDAZINE","CRITICAL"
"MESORIDAZINE","ZIPRASIDONE","CRITICAL"
"MESTRANOL","NAFCILLIN","CRITICAL"
"MESTRANOL","RIFABUTIN","CRITICAL"
"MESTRANOL","RIFAPENTINE","CRITICAL"
"METHAMPHETAMINE","PARGYLINE","CRITICAL"
"METHAMPHETAMINE","PHENELZINE","CRITICAL"
"METHAMPHETAMINE","TRANYLCYPROMINE","CRITICAL"
"METHOTREXATE","SULFAMETHOXAZOLE","CRITICAL"
"METHOTREXATE","TRIMETHOPRIM","CRITICAL"
"METHYLERGONOVINE","NELFINAVIR MESYLATE","CRITICAL"
"RITONAVIR","METHYLERGONOVINE","CRITICAL"
"SAQUINAVIR","METHYLERGONOVINE","CRITICAL"
"METHYLPHENIDATE","PHENELZINE","CRITICAL"
"METHYLPHENIDATE","TRANYLCYPROMINE","CRITICAL"
"METHYSERGIDE","NELFINAVIR MESYLATE","CRITICAL"
"RITONAVIR","METHYSERGIDE","CRITICAL"
"SAQUINAVIR","METHYSERGIDE","CRITICAL"
"METOCLOPRAMIDE","PRAMLINTIDE","CRITICAL"
"METOPROLOL","VERAPAMIL","CRITICAL"
"METRONIDAZOLE","WARFARIN","CRITICAL"
"MEXILETINE","TIZANIDINE","CRITICAL"
"MICONAZOLE","PHENPROCOUMON","CRITICAL"
"MICONAZOLE","VINBLASTINE","CRITICAL"
"MICONAZOLE","VINCRISTINE","CRITICAL"
"MICONAZOLE","WARFARIN","CRITICAL"
"MIDAZOLAM","NELFINAVIR MESYLATE","CRITICAL"
"MIDAZOLAM","NEVIRAPINE","CRITICAL"
"MIDAZOLAM","RITONAVIR","CRITICAL"
"MIDAZOLAM","SAQUINAVIR","CRITICAL"
"MIDAZOLAM","VORICONAZOLE","CRITICAL"
"MIGLITOL","PRAMLINTIDE","CRITICAL"
"MIRTAZAPINE","PHENELZINE","CRITICAL"
"MIRTAZAPINE","SELEGILINE","CRITICAL"
"MIRTAZAPINE","TRANYLCYPROMINE","CRITICAL"
"MOXIFLOXACIN","THIORIDAZINE","CRITICAL"
"MOXIFLOXACIN","ZIPRASIDONE","CRITICAL"
"NADOLOL","VERAPAMIL","CRITICAL"
"NAFCILLIN","NORGESTIMATE","CRITICAL"
"NAFCILLIN","NORGESTREL","CRITICAL"
"NEFAZODONE","PIMOZIDE","CRITICAL"
"NEFAZODONE","RANOLAZINE","CRITICAL"
"NEFAZODONE","RITONAVIR","CRITICAL"
"NEFAZODONE","SIMVASTATIN","CRITICAL"
"NEFAZODONE","TACROLIMUS","CRITICAL"
"NELFINAVIR MESYLATE","RANOLAZINE","CRITICAL"
"NELFINAVIR MESYLATE","RIFABUTIN","CRITICAL"
"NELFINAVIR MESYLATE","RIFAMPIN","CRITICAL"
"NELFINAVIR MESYLATE","RIFAPENTINE","CRITICAL"
"NELFINAVIR MESYLATE","SIMVASTATIN","CRITICAL"
"NELFINAVIR MESYLATE","TRIAZOLAM","CRITICAL"
"NEVIRAPINE","RIFAMPIN","CRITICAL"
"NITROGLYCERIN","SILDENAFIL CITRATE","CRITICAL"
"NITROGLYCERIN","TADALAFIL","CRITICAL"
"NITROGLYCERIN","VARDENAFIL","CRITICAL"
"NORFLOXACIN","TIZANIDINE","CRITICAL"
"NORGESTREL","PHENYTOIN","CRITICAL"
"NORTRIPTYLINE","PARGYLINE","CRITICAL"
"NORTRIPTYLINE","PHENELZINE","CRITICAL"
"NORTRIPTYLINE","TRANYLCYPROMINE","CRITICAL"
"NORTRIPTYLINE","ZIPRASIDONE","CRITICAL"
"OFLOXACIN","TIZANIDINE","CRITICAL"
"THEOPHYLLINE","OLEANDOMYCIN (AS TROLEANDOMYCIN)","CRITICAL"
"OLEANDOMYCIN (AS TROLEANDOMYCIN)","PIMOZIDE","CRITICAL"
"OPIUM","SODIUM OXYBATE","CRITICAL"
"ORPHENADRINE","SODIUM OXYBATE","CRITICAL"
"OXANDROLONE","WARFARIN","CRITICAL"
"OXAZEPAM","SODIUM OXYBATE","CRITICAL"
"OXYCODONE","SODIUM OXYBATE","CRITICAL"
"OXYMORPHONE","SODIUM OXYBATE","CRITICAL"
"OXYPHENBUTAZONE","PHENPROCOUMON","CRITICAL"
"PARGYLINE","PAROXETINE","CRITICAL"
"PARGYLINE","PHENYLEPHRINE","CRITICAL"
"PARGYLINE","PHENYLPROPANOLAMINE","CRITICAL"
"PARGYLINE","PROTRIPTYLINE","CRITICAL"
"PARGYLINE","PSEUDOEPHEDRINE","CRITICAL"
"PARGYLINE","SERTRALINE","CRITICAL"
"PARGYLINE","TRIMIPRAMINE","CRITICAL"
"PAROXETINE","PHENELZINE","CRITICAL"
"PAROXETINE","PIMOZIDE","CRITICAL"
"PAROXETINE","SELEGILINE","CRITICAL"
"PAROXETINE","THIORIDAZINE","CRITICAL"
"PAROXETINE","TRANYLCYPROMINE","CRITICAL"
"PENBUTOLOL","VERAPAMIL","CRITICAL"
"PENTAERYTHRITOL TETRANITRATE","SILDENAFIL CITRATE","CRITICAL"
"PENTAERYTHRITOL TETRANITRATE","VARDENAFIL","CRITICAL"
"PENTAMIDINE","ZIPRASIDONE","CRITICAL"
"PENTAZOCINE","SODIUM OXYBATE","CRITICAL"
"PENTOBARBITAL","PHENPROCOUMON","CRITICAL"
"PENTOBARBITAL","SODIUM OXYBATE","CRITICAL"
"PENTOBARBITAL","WARFARIN","CRITICAL"
"PHENELZINE","PHENYLEPHRINE","CRITICAL"
"PHENELZINE","PHENYLPROPANOLAMINE","CRITICAL"
"PHENELZINE","PROTRIPTYLINE","CRITICAL"
"PHENELZINE","PSEUDOEPHEDRINE","CRITICAL"
"PHENELZINE","SERTRALINE","CRITICAL"
"PHENELZINE","SIBUTRAMINE HYDROCHLORIDE","CRITICAL"
"PHENELZINE","TRIMIPRAMINE","CRITICAL"
"PHENOBARBITAL","PHENPROCOUMON","CRITICAL"
"PHENOBARBITAL","QUINESTROL","CRITICAL"
"PHENOBARBITAL","SODIUM OXYBATE","CRITICAL"
"PHENOBARBITAL","WARFARIN","CRITICAL"
"PHENOXYBENZAMINE","VARDENAFIL","CRITICAL"
"PHENPROCOUMON","PHENYLBUTAZONE","CRITICAL"
"PHENPROCOUMON","PRIMIDONE","CRITICAL"
"PHENPROCOUMON","RIFAMPIN","CRITICAL"
"PHENPROCOUMON","SECOBARBITAL","CRITICAL"
"PHENPROCOUMON","SODIUM SALICYLATE","CRITICAL"
"PHENPROCOUMON","SODIUM THIOSALICYLATE","CRITICAL"
"PHENTOLAMINE","VARDENAFIL","CRITICAL"
"PHENYLBUTAZONE","WARFARIN","CRITICAL"
"PHENYLEPHRINE","TRANYLCYPROMINE","CRITICAL"
"PHENYLPROPANOLAMINE","TRANYLCYPROMINE","CRITICAL"
"PHENYTOIN","QUINESTROL","CRITICAL"
"PHENYTOIN","VORICONAZOLE","CRITICAL"
"PIMOZIDE","PROCAINAMIDE","CRITICAL"
"PIMOZIDE","QUINIDINE","CRITICAL"
"PIMOZIDE","QUININE","CRITICAL"
"QUINUPRISTIN","PIMOZIDE","CRITICAL"
"PIMOZIDE","RANOLAZINE","CRITICAL"
"PIMOZIDE","RITONAVIR","CRITICAL"
"PIMOZIDE","SAQUINAVIR","CRITICAL"
"PIMOZIDE","SERTRALINE","CRITICAL"
"PIMOZIDE","SOTALOL","CRITICAL"
"PIMOZIDE","TELITHROMYCIN","CRITICAL"
"PIMOZIDE","VORICONAZOLE","CRITICAL"
"PIMOZIDE","ZILEUTON","CRITICAL"
"PIMOZIDE","ZIPRASIDONE","CRITICAL"
"PINDOLOL","VERAPAMIL","CRITICAL"
"POTASSIUM ACETATE","QUINAPRIL","CRITICAL"
"POTASSIUM ACETATE","RAMIPRIL","CRITICAL"
"POTASSIUM ACETATE","SPIRONOLACTONE","CRITICAL"
"POTASSIUM ACETATE","TRIAMTERENE","CRITICAL"
"POTASSIUM BICARBONATE","QUINAPRIL","CRITICAL"
"POTASSIUM BICARBONATE","RAMIPRIL","CRITICAL"
"POTASSIUM BICARBONATE","SPIRONOLACTONE","CRITICAL"
"POTASSIUM BICARBONATE","TRIAMTERENE","CRITICAL"
"POTASSIUM CHLORIDE","QUINAPRIL","CRITICAL"
"POTASSIUM CHLORIDE","RAMIPRIL","CRITICAL"
"POTASSIUM CHLORIDE","SPIRONOLACTONE","CRITICAL"
"POTASSIUM CHLORIDE","TRIAMTERENE","CRITICAL"
"POTASSIUM CITRATE","QUINAPRIL","CRITICAL"
